name,address,website,tel,mapsUrl,openHours,category,rating
Bolu 1401 Nolu Lisanslı Harita Kadastro Mühendislik Bürosu,"Kültür Mah. Şehitler Cad. Eryaman Apt. No:35/1, 14300 Bolu",bolulihkab.com,(0374) 210 10 10,"https://www.google.com/maps/place/Bolu+1401+Nolu+Lisansl%C4%B1+Harita+Kadastro+M%C3%BChendislik+B%C3%BCrosu/@40.7434752,31.5900671,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d3f058baf33dd:0x33821775ff10845e!8m2!3d40.7434752!4d31.6075766", ,Haritacılık Ofisi, 
Düzce Yamaç Harita Kadastro Mühendislik Bürosu,"Azmimilli, Gazhane Cd., 81020 Düzce Merkez/Düzce",yamacharita.com,(0380) 514 19 99,"https://www.google.com/maps/place/D%C3%BCzce+Yama%C3%A7+Harita+Kadastro+M%C3%BChendislik+B%C3%BCrosu/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d755caae0a6bf:0xad108f7f7848d12c!8m2!3d40.8366407!4d31.1591583","Perşembe,08:30 - 18:00; Cuma,08:30 - 18:00; Cumartesi,Kapalı; Pazar,Kapalı; Pazartesi,08:30 - 18:00; Salı,08:30 - 18:00; Çarşamba,08:30 - 18:00.",Haritacılık Ofisi,"5,0"
Geotek Harita Kadastro Mühendislik,"No: Burhaniye Mahallesi Atatürk Bul. Çoban Kavşağı Koç İş Merkezi Kat:1 No:80/104, 81010, Düzce Merkez/Düzce",geotekharita.com,(0380) 512 24 81,"https://www.google.com/maps/place/Geotek+Harita+Kadastro+M%C3%BChendislik/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d7553c63aef39:0xbd679fcdd6d4dfbe!8m2!3d40.8454108!4d31.1649778","Perşembe,08:30 - 18:00; Cuma,08:30 - 18:00; Cumartesi,08:30 - 18:00; Pazar,Kapalı; Pazartesi,08:30 - 18:00; Salı,08:30 - 18:00; Çarşamba,08:30 - 18:00.",Haritacılık Ofisi,"4,5"
Arda Harita,"No:6/a, Burhaniye Mahallesi Atatürk Bulvarı Goncaoğlu Apt, 81000 Merkez/Düzce",arda-harita.business.site,(0380) 523 81 00,"https://www.google.com/maps/place/Arda+Harita/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d750a27802e01:0xfb9997d79531ad04!8m2!3d40.8390277!4d31.1628505","Perşembe,08:30 - 18:00; Cuma,08:30 - 18:00; Cumartesi,08:30 - 15:00; Pazar,Kapalı; Pazartesi,08:30 - 18:00; Salı,08:30 - 18:00; Çarşamba,08:30 - 18:00.",Haritacılık Ofisi, 
Düzce Tapu Sicil Müdürlüğü,"Camikebir, İstanbul Cd., 81020 Düzce Merkez/Düzce",tkgm.gov.tr, ,"https://www.google.com/maps/place/D%C3%BCzce+Tapu+Sicil+M%C3%BCd%C3%BCrl%C3%BC%C4%9F%C3%BC/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d755bd42f801f:0x98baf0557ffb2278!8m2!3d40.839904!4d31.155676", ,Yerel Resmi Daire,"3,0"
Bektaş Harita Mühendislik İnşaat Emlak Sanayi Ticaret Limited Şirketi,"Şerefiye, Usta Kardeşler İşhanı, Cumhuriyet Sk. No:14/1, 81100 Merkez/Düzce",bektasharita.com.tr,(0380) 523 55 88,"https://www.google.com/maps/place/Bekta%C5%9F+Harita+M%C3%BChendislik+%C4%B0n%C5%9Faat+Emlak+Sanayi+Ticaret+Limited+%C5%9Eirketi/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d75be9e97cc4d:0x5d604f7c9d801edf!8m2!3d40.8398847!4d31.1618711","Perşembe,08:30 - 17:30; Cuma,08:30 - 17:30; Cumartesi,08:30 - 17:30; Pazar,Kapalı; Pazartesi,08:30 - 17:30; Salı,08:30 - 17:30; Çarşamba,08:30 - 17:30.",Haritacılık Ofisi, 
Erkon Mühendislik Harita İnşaat San. ve Tic. Ltd. Şti.,"Burhaniye, Bolu Cd. No: 7, 81010 Merkez/Düzce",erkon.net,(0380) 514 71 71,"https://www.google.com/maps/place/Erkon+M%C3%BChendislik+Harita+%C4%B0n%C5%9Faat+San.+ve+Tic.+Ltd.+%C5%9Eti./@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d75d695f0c75d:0x931ea211b93bdc57!8m2!3d40.838667!4d31.163208","Perşembe,08:30 - 18:00; Cuma,08:30 - 18:00; Cumartesi,08:30 - 18:00; Pazar,Kapalı; Pazartesi,08:30 - 18:00; Salı,08:30 - 18:00; Çarşamba,08:30 - 18:00.",Haritacılık Ofisi, 
Düzce Harita Mühendislik ve Müşavirlik,"Cedidiye Mahallesi Celal Kasapoğlu Caddesi, Nabi Sk. No:1/2, 81010 Merkez/Düzce",duzceharita.org,0532 354 88 98,"https://www.google.com/maps/place/D%C3%BCzce+Harita+M%C3%BChendislik+ve+M%C3%BC%C5%9Favirlik/@40.8368602,31.1464313,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d759e9df6edf9:0xea2a73c960ebe6fe!8m2!3d40.8368602!4d31.1639408","Perşembe,09:00 - 18:00; Cuma,09:00 - 18:00; Cumartesi,Kapalı; Pazar,Kapalı; Pazartesi,09:00 - 18:00; Salı,09:00 - 18:00; Çarşamba,09:00 - 18:00.",Harita Oluşturma Hizmeti,"5,0"
LİHKAB,"Camikebir, Şen Sk. No:11, 81020 Düzce Merkez/Düzce",duzcelihkab.com, ,"https://www.google.com/maps/place/L%C4%B0HKAB/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d755bbfd43929:0xfb6ebf7abccb0a4b!8m2!3d40.838843!4d31.156263", ,Kurumsal Ofis,"3,8"
Çalışkan Harita,"Burhaniye, Bolu Cd. No:13, 81010 Düzce Merkez/Düzce", ,(0380) 514 78 87,"https://www.google.com/maps/place/%C3%87al%C4%B1%C5%9Fkan+Harita/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d75549fdf2d37:0xc709c7349051e211!8m2!3d40.8386587!4d31.1635064", , ,"3,0"
Aydın Harita,"Cedidiye Mah. Belediye Pasajı No:4/a, Azmimilli/çay, Düzce Merkez, Düzce",aydinharita.com,(0380) 514 35 44,"https://www.google.com/maps/place/Ayd%C4%B1n+Harita/@40.8438464,31.15654,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d755708fbbd3f:0x7356d3324bb122b1!8m2!3d40.843849!4d31.15654", , ,"2,0"
Bolu 1401 Nolu Lisanslı Harita Kadastro Mühendislik Bürosu,"Kültür Mah. Şehitler Cad. Eryaman Apt. No:35/1, 14300 Bolu",bolulihkab.com,(0374) 210 10 10,"https://www.google.com/maps/place/Bolu+1401+Nolu+Lisansl%C4%B1+Harita+Kadastro+M%C3%BChendislik+B%C3%BCrosu/@40.7434752,31.5900671,14z/data=!4m8!1m2!2m1!1sharita+kadastro!3m4!1s0x409d3f058baf33dd:0x33821775ff10845e!8m2!3d40.7434752!4d31.6075766", ,Haritacılık Ofisi, 
